Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,Company_Stage,Classifier_Date
Rubedo Life Sciences,https://www.rubedolife.com/,Sunnyvale,,,Age-related drug discovery platform,,BPG,Unknown,2025-11-15
Rubicon Biotechnology,https://rubiconbio.com/,Irvine,,,Biologics,,BPG,Unknown,2025-11-15
Rune Labs,https://www.runelabs.io/,San Francisco,,,Brain data analysis platform,,BPG,Research,2025-11-15
RxSight,https://rxsight.com/,Aliso Viejo,,,Adjustable intraocular lenses,,BPG,Unknown,2025-11-15
RyboDyn,https://rybodyn.com/,San Diego,,,Proprietary RNA sequencing technology,,BPG,Unknown,2025-11-15
Ryght,https://www.ryght.ai/,Laguna Beach,,,AI Platform for Biopharma,,BPG,Unknown,2025-11-15
S2 Genomics,https://s2genomics.com/,Livermore,,,Genetic Analysis,,BPG,Unknown,2025-11-15
SCILEX,https://www.scilexholding.com/,Palo Alto,,,"Transdermal Drug Delivery, 505(b)(2)",,BPG,Unknown,2025-11-15
SI-BONE,https://si-bone.com/,Santa Clara,,,Sacroiliac joint fusion device,,BPG,Unknown,2025-11-15
SMSbiotech,https://www.smsbiotech.com/,San Marcos,,,Stem Cell Therapy,,BPG,Unknown,2025-11-15
SOLVD Health,https://solvdhealth.com/,Carlsbad,,,Diagnostics,,BPG,Unknown,2025-11-15
SRI International,https://www.sri.com/,Menlo Park,,,Independent Research,,BPG,Unknown,2025-11-15
STA Pharmaceutical,https://sta.wuxiapptec.com/,San Diego,,,API manufacturing,,BPG,Private,2025-11-15
STAAR Surgical,https://www.staar.com/,Lake Forest,,,Implantable Lenses,,BPG,Unknown,2025-11-15
Saama Technologies,https://www.saama.com/,Campbell,,,Clinical Trial Analytics,,BPG,Unknown,2025-11-15
Saccharo,https://www.saccharo.com/,Oakland,,,Cancer Therapies,,BPG,Unknown,2025-11-15
Sage-N Research,https://www.sagenresearch.com/,Milpitas,,,AI & Mass Spec for Biomarker Discovery,,BPG,Unknown,2025-11-15
SageMedic,https://sagemedic.com/,Redwood City,,,Tumor assay,,BPG,Unknown,2025-11-15
Sagimet Biosciences,https://sagimet.com/,San Mateo,,,Drugs targeting the fatty acid synthase enzyme,,BPG,Unknown,2025-11-15
Sagittarius Bio,https://www.sagittarius.bio/,Thousand Oaks,,,Gene Therapy for Cancer,,BPG,Unknown,2025-11-15
Sakura Finetek,https://www.sakuraus.com/,Torrance,,,"Automated instruments, consumables, and reagents for anatomic pathology",,BPG,Unknown,2025-11-15
Samay,https://www.samayhealth.com/home,Mountain View,,,AI-powered wearable diagnostic solutions for respiratory diseases,,BPG,Unknown,2025-11-15
Sampling Human,https://www.samplinghuman.com/,Berkeley,,,Single cell biomarkers,,BPG,Unknown,2025-11-15
SanBio Co Ltd,https://www.sanbio.com/,Oakland,,,Regenerative Cell Medicine,,BPG,Unknown,2025-11-15
SanDiegOmics,https://sandiegomics.com/,Del Mar,,,Sequencing Consultant,,BPG,Unknown,2025-11-15
Sangamo Therapeutics,https://www.sangamo.com/,Richmond,,,Biologics,,BPG,Private,2025-11-15
Sanguine Biosciences,https://sanguinebio.com/,San Diego,,,Biospecimen Collection,,BPG,Unknown,2025-11-15
Sanovas,https://sanovas.com/new/site/index.html,San Rafael,,,Minimally-invasive surgical tools,,BPG,Unknown,2025-11-15
Santa Ana Bio,https://www.santaanabio.com/,Alameda,,,"Immunology drug development, biologics",,BPG,Unknown,2025-11-15
Santen,https://www.santen.com/en,Emeryville,,,Ophthalmics,,BPG,Unknown,2025-11-15
Sapient Bioanalytics,https://sapient.bio/,San Diego,,,"Multi-omics biomarker discovery – metabolomics, lipidomics, proteomics, bioinformatics & translation",,BPG,Unknown,2025-11-15
Sapu BioScience,https://sapubio.com/,San Diego,,,RNA & Small Molecule Immuno-oncology Therapies,,BPG,Unknown,2025-11-15
Sardona Therapeutics,https://www.sardonatx.com/,San Francisco,,,Small molecules to target RNA-binding proteins,,BPG,Private,2025-11-15
Sayenza Biosciences,https://sayenza.com/,Irvine,,,Fat-derived Stem Cells,,BPG,Unknown,2025-11-15
Scale Biosciences,https://scale.bio/,San Diego,,,Single-Cell Spatial Biology Tech,,BPG,Unknown,2025-11-15
Scantibodies Laboratory,https://scantibodies.com/,Santee,,,"Diagnostics, Medical Tests",,BPG,Unknown,2025-11-15
Schrodinger,https://www.schrodinger.com/,San Diego,,,Computation Drug Discovery Platform,,BPG,Unknown,2025-11-15
SciGene,http://www.scigene.com/index.php,Santa Clara,,,Imaging sample prep,,BPG,Unknown,2025-11-15
SciGenom,https://www.scigenom.com/,San Francisco,,,"Next-gen sequencing services, bioinformatics",,BPG,Unknown,2025-11-15
SciQuus,https://sciquus.com/,La Jolla,,,Oncology Drug Development,,BPG,Unknown,2025-11-15
ScienCell Research Laboratories,https://sciencellonline.com/,Carlsbad,,,"Cells, Reagents, MolBio Supplies",,BPG,Research,2025-11-15
Scribe Therapeutics,https://www.scribetx.com/,Alameda,,,CRISPR platform,,BPG,Private,2025-11-15
Scripps Laboratories,https://scrippslabs.com/,San Diego,,,Proteins & Antibodies,,BPG,Research,2025-11-15
Seascape Clinical,https://seascapeclinical.com/,Redwood City,,,Clinical Operations Cloud Software,,BPG,Unknown,2025-11-15
Seegene,https://www.seegene.com/,Irvine,,,Diagnostics,,BPG,Unknown,2025-11-15
Seer,https://seer.bio/,Redwood City,,,Early Detection,,BPG,Unknown,2025-11-15
Segmed,https://www.segmed.ai/,Palo Alto,,,Cloud based platform for AI development,,BPG,Unknown,2025-11-15
Sekisui Diagnostics,https://sekisuidiagnostics.com/,San Diego,,,Diagnostics,,BPG,Unknown,2025-11-15
Selonterra,https://selonterra.com/,San Mateo,,,Neurodegenerative Therapies,,BPG,Unknown,2025-11-15
Selva Therapeutics,https://selvarx.com/,Del Mar,,,Antiviral,,BPG,Private,2025-11-15
Semler Scientific,https://www.semlerscientific.com/,Santa Clara,,,Products that assist healthcare providers in monitoring patients and evaluating chronic diseases,,BPG,Unknown,2025-11-15
Senhwa Biosciences,https://www.senhwabio.com/en,San Diego,,,Small Molecules for oncology,,BPG,Unknown,2025-11-15
Senju Pharmaceutical,https://www.senju.co.jp/english/,Torrance,,,Small Molecules,,BPG,Private,2025-11-15
Sensydia,https://www.sensydia.com/,Los Angeles,,,Cardiac Function Measurement,,BPG,Unknown,2025-11-15
Senti Biosciences,https://www.sentibio.com/,South SF,,,Gene Circuits; Cell & Gene Therapies,,BPG,Unknown,2025-11-15
Sentia Medical Sciences,https://www.sentiamedical.com/,San Diego,,,Novel peptide therapeutics,,BPG,Unknown,2025-11-15
Sentieon,https://www.sentieon.com/,San Jose,,,Algorithms for Bioinformatics Applications,,BPG,Unknown,2025-11-15
Sention Therapeutics,https://www.sentiontx.com/,San Diego,,,Parathyroid Hormone Replacement for Hypothyroidism,,BPG,Private,2025-11-15
Sentynl Therapeutics,https://sentynl.com/,Solana Beach,,,Small Molecules,,BPG,Private,2025-11-15
Seonix Bio,https://seonixbio.com/,San Diego,,,Glaucoma Diagnosis,,BPG,Unknown,2025-11-15
Sepragen,https://sepragen.com/,Union City,,,"Chromatography, Bioreactors",,BPG,Unknown,2025-11-15
Septerna,https://www.septerna.com/,South SF,,,GPCR Drug Discovery,,BPG,Unknown,2025-11-15
SeqOnce Biosciences,https://seqonce.com/,Carlsbad,,,Rapid & Simple Library Construction for NGS,,BPG,Unknown,2025-11-15
Sequilite Genomics,https://www.sequlite.com/,Pleasanton,,,NGS platform,,BPG,Unknown,2025-11-15
Seragon Biosciences,https://www.seragon.com/,Irvine,,,"Small Molecules, Gene Therapy",,BPG,Unknown,2025-11-15
Seranova Bio,https://www.seranovabio.com/,South SF,,,Autoantibody Discovery,,BPG,Unknown,2025-11-15
Serpex Medical,https://serpexmedical.mystrikingly.com/,Santa Clara,,,Bronchial Access Devices,,BPG,Unknown,2025-11-15
Shape Memory Medical,https://www.shapemem.com/,San Jose,,,Devices using Shape Memory Polymer materials,,BPG,Unknown,2025-11-15
Shasqi,https://www.shasqi.com/,San Francisco,,,Local Drug Activation,,BPG,Unknown,2025-11-15
Shenandoah Therapeutics,https://shenandoah-tx.com/,South SF,,,Cancer Driver Therapies,,BPG,Private,2025-11-15
Shennon Biotechnologies,https://www.shennonbio.com/,San Francisco,,,Proprietary single cell platform to create more effective immunotherapies,,BPG,Unknown,2025-11-15
Shockwave Medical,https://shockwavemedical.com/,Santa Clara,,,Lithoplasty for treating occlusive calcified lesions,,BPG,Unknown,2025-11-15
Shoreline Biosciences,https://shorelinebio.com/,San Diego,,,Cell-Based Immunotherapies,,BPG,Unknown,2025-11-15
Sidewinder Therapeutics,https://sidewinderbio.com/,San Diego,,,Large Molecule Precision Therapeutics,,BPG,Private,2025-11-15
Siegfried,https://www.siegfried.ch/,Irvine,,,"Contract Drug Manufacturing, APIS, Development",,BPG,Unknown,2025-11-15
Sight Sciences,https://www.sightsciences.com/,Menlo Park,,,Ophthalmology surgical devices,,BPG,Unknown,2025-11-15
Signios Biosciences,https://www.signiosbio.com/,Foster City,,,Diagnostics & Genomic Solutions,,BPG,Unknown,2025-11-15
Sigyn Therapeutics,https://www.sigyntherapeutics.com/,San Diego,,,Blood Purification Technology,,BPG,Private,2025-11-15
Silver Bullet Therapeutics,http://www.svbtx.com/,San Jose,,,Antimicrobial coating for implants,,BPG,Private,2025-11-15
Silver Creek Pharmaceuticals,https://www.silvercreekpharma.com/,South SF,,,Regenerative medicines,,BPG,Private,2025-11-15
SimpleTrials,https://www.simpletrials.com/,Oakland,,,CTMS/eTMF solution for CROs and Sponsors,,BPG,Unknown,2025-11-15
Simplify Genomics,https://simplifygenomics.com/,Solana Beach,,,Genomic Reporting Platform,,BPG,Unknown,2025-11-15
Simpson Interventions,https://www.simpsonint.com/,Campbell,,,Visual guidance for effective cardiovascular interventions,,BPG,Unknown,2025-11-15
Single Cell Technology,https://singlecelltechnology.com/,San Jose,,,Antibody Discovery Platform,,BPG,Unknown,2025-11-15
Single Pass,https://www.singlepass.co/,Lake Forest,,,Biopsy Closure Device,,BPG,Unknown,2025-11-15
Singular Genomics,https://www.singulargenomics.com/,San Diego,,,Genomics,,BPG,Unknown,2025-11-15
Sinopia Biosciences,https://www.sinopiabio.com/,San Diego,,,Improved Delivery,,BPG,Unknown,2025-11-15
Siolta Therapeutics,https://www.sioltatherapeutics.com/,San Carlos,,,Gut Microbiome Modification,,BPG,Private,2025-11-15
Sira Medical,https://siramedical.com/,San Francisco,,,Augmented reality surgical software,,BPG,Unknown,2025-11-15
Siren Biotechnology,https://sirenbiotechnology.com/,San Francisco,,,AAV Immuno-Gene Therapy,,BPG,Unknown,2025-11-15
Sirenas,https://sirenasmd.com/,San Diego,,,Computation Drug Discovery - Metabolite Analysis,,BPG,Unknown,2025-11-15
Sirius Therapeutics,https://www.siriusrna.com/,San Diego,,,RNAi Therapies,,BPG,Private,2025-11-15
Skye Biologics,https://www.skyebiologics.com/,El Segundo,,,Spinal Grafts,,BPG,Unknown,2025-11-15
Skye Bioscience,https://skyebioscience.com/,San Diego,,,Cannabinoids,,BPG,Unknown,2025-11-15
Slam BioTherapeutics,https://slambio.com/,Thousand Oaks,,,ADCs,,BPG,Private,2025-11-15
Slingshot Biosciences,https://slingshotbio.com/,Emeryville,,,Synthetic Cells,,BPG,Unknown,2025-11-15
Solaris Biotech,https://www.solarisbiotech.com/en/bioreactors-fermentors,Berkeley,,,"Specialized bioprocessing equipment for biotech, pharma, food + more. Benchtop / Pilot / Industrial Bioreactors, Fermenters, TFF.",,BPG,Unknown,2025-11-15
Solaris Medical Technology,https://solarismedtech.com/,San Francisco,,,Patient Monitoring Systems,,BPG,Unknown,2025-11-15
Soleno Therapeutics,https://soleno.life/,Redwood City,,,"Small Molecule, Carbon Monoxide Monitoring Device",,BPG,Private,2025-11-15
Somagenics,https://www.somagenics.com/,Santa Cruz,,,RNAi technology / Diagnostics,,BPG,Unknown,2025-11-15
Sommetrics,https://sommetrics.com/,San Diego,,,Sleep Improvement Technology,,BPG,Unknown,2025-11-15
SonALAsense,https://www.sonalasense.com/,Oakland,,,ALA Sonodynamic Therapy for Glioblastoma,,BPG,Unknown,2025-11-15
SonoMotion,https://www.sonomotion.com/,San Mateo,,,Noninvasive Stone Treatment,,BPG,Unknown,2025-11-15
SonoThera,https://sonothera.com/,South SF,,,Ultrasound-mediated nonviral gene delivery platform,,BPG,Unknown,2025-11-15
Sonoma Biotherapeutics,https://sonomabio.com/,South SF,,,Cell Therapy,,BPG,Private,2025-11-15
Sonorous,https://www.sonorousnv.com/,Lake Forest,,,Cerebral Venous Disease Device,,BPG,Unknown,2025-11-15
Sony Biotechnology,https://www.sonybiotechnology.com/,San Jose,,,"Cell Sorting, Spectral Cell Analyzers",,BPG,Unknown,2025-11-15
Sorrento Therapeutics,https://sorrentotherapeutics.com/,San Diego,,,Oncology Therapeutics & Diagnostics,,BPG,Private,2025-11-15
Sotera Digital Health,https://soteradigitalhealth.com/,Carlsbad,,,Vital signs monitoring devices,,BPG,Unknown,2025-11-15
Sovato,https://sovato.com/,Santa Barbara,,,Robotic-Assisted Surgery,,BPG,Unknown,2025-11-15
Spartan Micro,https://www.spartanmicro.com/,Costa Mesa,,,Neurovascular related Medical Devices,,BPG,Unknown,2025-11-15
Spatial Genomics,https://spatialgenomics.com/,Pasadena,,,"Molecular barcoding, imaging, FISH",,BPG,Unknown,2025-11-15
Speclipse,https://www.speclipse.com/,Sunnyvale,,,Laser-Based Medical Diagnostics,,BPG,Unknown,2025-11-15
Speech Buddies,https://www.speechbuddy.com,San Francisco,,,Speech therapy device,,BPG,Unknown,2025-11-15
Speid & Associates,https://speedingnewdrugstomarket.org/,San Diego,,,Global and strategic regulatory affairs and new medicine development support,,BPG,Unknown,2025-11-15
Speid Associates,https://www.speedingnewdrugstomarket.com/,San Diego,,,Training in new medicine development,,BPG,Unknown,2025-11-15
Spinal Elements,https://spinalelements.com/,Carlsbad,,,Spinal Implants,,BPG,Unknown,2025-11-15
Spinogenix,https://www.spinogenix.com/,San Diego,,,Neurodegenerative Therapeutics,,BPG,Unknown,2025-11-15
Spirair,https://spirair.com/,South SF,,,Septal Deviation Device,,BPG,Unknown,2025-11-15
Spiral Therapeutics,https://www.spiraltx.com/,South SF,,,Inner ear therapies,,BPG,Private,2025-11-15
Splash Pharmaceuticals,http://www.splashpharma.com/,San Diego,,,Peptide,,BPG,Private,2025-11-15
Spruce Biosciences,https://sprucebio.com/,South SF,,,Treatments for diseases affecting the hypothalamic-pituitary-adrenal (HPA) axis,,BPG,Unknown,2025-11-15
SpyGlass Pharma,https://www.spyglasspharma.com/,Aliso Viejo,,,Intraocular Drug Delivery,,BPG,Private,2025-11-15
Square-1 Engineering,https://www.sqr1services.com/,Irvine,,,"Medical device consulting - R&D, Quality, Compliance, RA, Manufacturing",,BPG,Unknown,2025-11-15
Stamm Biotech,https://www.stamm.bio/,San Francisco,,,Biomanufacturing Platform,,BPG,Unknown,2025-11-15
Standard BioTools,https://www.standardbio.com/,South SF,,,"Microarrays, Sequencing, Add'l Services",,BPG,Unknown,2025-11-15
Star Therapeutics,https://star-therapeutics.com/,South SF,,,Antibody Therapeutics,,BPG,Private,2025-11-15
Starlight Cardiovascular,https://www.starlightcardio.com/,San Diego,,,Devices for Congenital Heart Defects,,BPG,Unknown,2025-11-15
Stason Pharmaceuticals,https://stasonpharma.com/,Irvine,,,CDMO,,BPG,Private,2025-11-15
Stately Bio,https://statelybio.com/,San Francisco,,,ML Cell Imaging,,BPG,Unknown,2025-11-15
Stellartech Research,https://www.stellartechresearch.com/,Milpitas,,,Electronic device development,,BPG,Unknown,2025-11-15
StemCardia,https://www.stemcardia.com/,Sacramento,,,Cell & gene therapies engineered to repair the heart,,BPG,Unknown,2025-11-15
Stemedica Cell Technologies,https://www.stemedica.com/,San Diego,,,Stem Cell Production,,BPG,Unknown,2025-11-15
Steris Applied Sterilization Technologies,https://www.steris-ast.com/,San Diego,,,Medical device sterilization,,BPG,Unknown,2025-11-15
Sterogene Bioseparations,https://sterogene.com/,Carlsbad,,,NaOH-sanitizable affinity chromatography resins for the purification of human blood products and biopharmaceuticals,,BPG,Unknown,2025-11-15
Strategikon Pharma,https://strategikon.com/,San Francisco,,,Digital tools for the business side of clinical trials.,,BPG,Private,2025-11-15
Strateos,https://strateos.com/,Menlo Park,,,Robotic Cloud Lab,,BPG,Unknown,2025-11-15
StrokeDx,https://www.stroke-dx.com/,Culver City,,,Stroke Diagnostics Machine,,BPG,Unknown,2025-11-15
Stroma Medical,https://www.stromamedical.com/,Irvine,,,Eye Color Changing Device,,BPG,Unknown,2025-11-15
Structure Therapeutics,https://structuretx.com/,South SF,,,Oral small molecule drugs that can deliver biologic-like activity and specificity,,BPG,Private,2025-11-15
Stryker,https://www.stryker.com/,San Jose,,,Medical Devices,,BPG,Unknown,2025-11-15
Studylog,https://www.studylog.com/,South SF,,,Animal Study Workflow Software,,BPG,Unknown,2025-11-15
Subtle Medical,https://subtlemedical.com/,Menlo Park,,,Imaging Software,,BPG,Unknown,2025-11-15
Summit Therapeutics,https://www.smmttx.com/,Menlo Park,,,Utrophin modulation technology,,BPG,Private,2025-11-15
Supercede Therapeutics,https://supercedetherapeutics.com/,Belmont,,,Bioinformatic Drug Discovery,,BPG,Private,2025-11-15
Superfluid Dx,https://www.superfluiddx.com/,South SF,,,Circulating RNA for diagnosis,,BPG,Unknown,2025-11-15
Superior BioDiagnostics,https://superiorbiodx.com/,Irvine,,,Tissue Samples,,BPG,Unknown,2025-11-15
Supira Medical,https://supiramedical.com/,Los Gatos,,,"Low-profile, high-flow percutaneous ventricular assist device",,BPG,Unknown,2025-11-15
Surf Bio,https://www.surf.bio/,Palo Alto,,,Biologic Stabilization Platform,,BPG,Unknown,2025-11-15
Surface Ophthalmics,https://surfaceophthalmics.com/,Pleasanton,,,505(b)(2) drugs,,BPG,Unknown,2025-11-15
Surge,https://www.surge.care/,San Francisco,,,Machine learning algorithms to decode a patient's immune system from a blood sample for outcome prediction,,BPG,Unknown,2025-11-15
Surrozen,https://www.surrozen.com/,South SF,,,Wnt signaling antibodies,,BPG,Unknown,2025-11-15
Sutra Medical,https://sutramedical.com/,Lake Forest,,,Transcatheter mitral and pulmonary valve replacement devices,,BPG,Unknown,2025-11-15
Sutro Biopharma,https://www.sutrobio.com/,South SF,,,Biochemical Protein Synthesis Platform,,BPG,Private,2025-11-15
Suture Ease,https://www.suturease.com/,San Jose,,,Fascia closure device,,BPG,Unknown,2025-11-15
Swaza,https://www.swaza.life/,Mountain View,,,Nanofluid Breathing Aid,,BPG,Unknown,2025-11-15
Swing Therapeutics,https://swingtherapeutics.com/,San Francisco,,,Digital Therapeutics,,BPG,Private,2025-11-15
Switch Therapeutics,https://www.switchthera.com/,South SF,,,RNAi Therapies,,BPG,Private,2025-11-15
Sydnexis,https://sydnexis.com/,Del Mar,,,Eyedrops to Arrest Myopia,,BPG,Unknown,2025-11-15
Synfini,https://synfini.com/,Menlo Park,,,AI Drug Design,,BPG,Unknown,2025-11-15
Synlico,https://synlico.com/,South SF,,,In Silico CAR T Drug Discovery,,BPG,Unknown,2025-11-15
Synthasome,http://www.synthasome.com/,Del Mar,,,Repair Mesh,,BPG,Unknown,2025-11-15
SyntheX,https://synthexlabs.com/,San Francisco,,,Discovery of treatments for undruggable proteins,,BPG,Unknown,2025-11-15
Synthego,https://www.synthego.com/,Redwood City,,,Synthetic RNA for CRISPR use,,BPG,Unknown,2025-11-15
Synthekine,https://www.synthekine.com/,Menlo Park,,,Engineered Cytokines,,BPG,Unknown,2025-11-15
Synthetic Design Lab,https://www.syntheticdesignlab.com/,San Francisco,,,ADCs,,BPG,Unknown,2025-11-15
Synvivia,https://www.synvivia.com/,Berkeley,,,Protein Switches,,BPG,Unknown,2025-11-15
System Biosciences,https://www.systembio.com/,Palo Alto,,,Stem Cell & Biotechnology Supplies,,BPG,Unknown,2025-11-15
T&L Biotechnology,https://www.tlbiotech.com/,Carlsbad,,,"Magnetic Beads, Protein Expression, Formulation, Protein Characterization, Cell Services",,BPG,Unknown,2025-11-15
T-Cure Bioscience,https://t-cure.com/,Irvine,,,TCR Therapy,,BPG,Unknown,2025-11-15
TE Connectivity,https://www.te.com/en/home.html,Carlsbad,,,Medical Devices,,BPG,Unknown,2025-11-15
TEGA Therapeutics,https://www.tegatherapeutics.com/,San Diego,,,Glycoside-enhanced lysosomal delivery of proteins and recombinant production of heparan sulfate and heparin.,,BPG,Private,2025-11-15
THINK Surgical,https://thinksurgical.com/,Fremont,,,Digital surgical planning,,BPG,Unknown,2025-11-15
TORL BioTherapeutics,https://torlbio.com/,Culver City,,,Antibody-drug Conjugate,,BPG,Private,2025-11-15
TRIO Pharmaceuticals,https://www.triopharmaceuticals.com/,San Carlos,,,Cancer Immunotherapeutics,,BPG,Private,2025-11-15
TRexBio,https://trex.bio/,South SF,,,Treg mapping in human tissues,,BPG,Unknown,2025-11-15
TTI Medical,https://ttimedical.com/,San Ramon,,,Surgical imaging,,BPG,Unknown,2025-11-15
Tahoe Therapeutics,https://www.tahoebio.ai/,South SF,,,in vivo single cell atlas,,BPG,Private,2025-11-15
Takara Bio USA,https://www.takarabio.com/,San Jose,,,Lab products,,BPG,Unknown,2025-11-15
Tallac Therapeutics,https://www.tallactherapeutics.com/,Burlingame,,,Novel Cancer Immunotherapies,,BPG,Private,2025-11-15
Talphera,https://talphera.com/,San Mateo,,,Oral-Transmucosal Drug Delivery,,BPG,Unknown,2025-11-15
Tandem Diabetes,https://www.tandemdiabetes.com/,San Diego,,,Touchscreen Insulin Pump,,BPG,Unknown,2025-11-15
Tanvex BioPharma,http://www.tanvex.com/,San Diego,,,"Biologics Services, CDMO",,BPG,Private,2025-11-15
Taran Therapeutics,https://www.tarantherapeutics.com/,Burlingame,,,Monoclonal Antibody,,BPG,Private,2025-11-15
Targazyme,https://www.targazyme.com/,Carlsbad,,,Cell Therapy,,BPG,Unknown,2025-11-15
Target Discovery,http://targetdiscovery.com/,Mountain View,,,Biomarker Assays,,BPG,Unknown,2025-11-15
Tarsus Pharmaceuticals,https://tarsusrx.com/,Irvine,,,Blepharitis Treatment,,BPG,Private,2025-11-15
Tasman Therapeutics,https://www.tasmantherapeutics.com/,San Francisco,,,Oral Extended Release Ketamine,,BPG,Private,2025-11-15
Teal Health,https://www.getteal.com/,San Francisco,,,At-home Cervical Cancer Screening,,BPG,Unknown,2025-11-15
TechImmune,https://techimmune.com/,Irvine,,,T Cell Therapeutics,,BPG,Unknown,2025-11-15
Teco Diagnostics,https://www.tecodiagnostics.com/,Anaheim,,,Diagnostics,,BPG,Unknown,2025-11-15
Tegmine Therapeutics,https://tegminetx.com/,South SF,,,Antibody Drug Discovery Platform,,BPG,Private,2025-11-15
Teikoku Pharma,https://teikokuusa.com/,San Jose,,,Drug Delivery Systems,,BPG,Private,2025-11-15
Telesair,https://www.telesair.com/,Irvine,,,Noninvasive Ventilator,,BPG,Unknown,2025-11-15
Telesis Bio,https://telesisbio.com/,San Diego,,,Synthetic DNA,,BPG,Unknown,2025-11-15
Telios Pharma,http://teliospharma.com/,Redwood City,,,Bruton’s tyrosine kinase inhibitor,,BPG,Private,2025-11-15
Telix Pharmaceuticals,https://telixpharma.com/,Sacramento,,,Radio immunotherapy,,BPG,Private,2025-11-15
Telo Therapeutics,https://telotherapeutics.com/,San Francisco,,,Personalized medicine,,BPG,Private,2025-11-15
Tempero Bio,https://www.temperobio.com/,Oakland,,,Treatments for substance abuse disorders,,BPG,Unknown,2025-11-15
Tempest Therapeutics,https://www.tempesttx.com/,Brisbane,,,Small Molecules for Immuno-Oncology,,BPG,Private,2025-11-15
Tempo Bioscience,https://www.tempobioscience.com/,San Francisco,,,"Stem cell models, biosensor assay services, disease modeling",,BPG,Unknown,2025-11-15
Tempo Therapeutics,https://www.tempothera.com/,San Diego,,,"Injectable, bioresorbable, and synthetic tissue scaffold",,BPG,Private,2025-11-15
Tenaya Therapeutics,https://www.tenayatherapeutics.com/,South SF,,,Cardiovascular Therapeutics,,BPG,Private,2025-11-15
Tenex Health,https://www.tenexhealth.com/,Lake Forest,,,Minimally invasive technology for treatment of chronic tendon pain,,BPG,Unknown,2025-11-15
Tenon Medical,https://www.tenonmed.com/,Los Gatos,,,Surgical Devices for Chronic Lower Back Pain,,BPG,Unknown,2025-11-15
Tentarix Biotherapeutics,https://www.tentarix.com/,San Diego,,,Logic-Gated Multivalent Molecule Technology,,BPG,Private,2025-11-15
Tenvie Therapeutics,https://tenvie.com/,South SF,,,Small Molecules for Neuro,,BPG,Private,2025-11-15
Teon Therapeutics,https://teontherapeutics.com/,Redwood City,,,Small molecules focused on GPCR targets for oncology indications,,BPG,Private,2025-11-15
TeraPore Technologies,https://www.terapore.com/,South SF,,,Membrane Technologies,,BPG,Unknown,2025-11-15
Terns Pharmaceuticals,https://www.ternspharma.com/,Foster City,,,Small Molecules - Liver focus,,BPG,Private,2025-11-15
Terremoto Biosciences,https://terremotobio.com/,South SF,,,Covalent Small Molecules,,BPG,Unknown,2025-11-15
TesoRx,https://www.tesorx.com/,Menlo Park,,,Formulations platforms,,BPG,Unknown,2025-11-15
Tetrous,https://tetrous.com/,Los Angeles,,,Demineralized Bone Fiber Implant for Rotator Cuff Enthesis Repair,,BPG,Unknown,2025-11-15
Tetsuwan Scientific,https://tetsuwan.com/,San Francisco,,,Lab Automation,,BPG,Unknown,2025-11-15
The MT Group,https://mtgroupbio.com/,Los Angeles,,,Biospecimen Collection,,BPG,Unknown,2025-11-15
TheraDep Technologies,https://www.theradep.com/,San Jose,,,Aesthetic Dermatology,,BPG,Unknown,2025-11-15
TheraNova,https://www.theranova.com/,San Francisco,,,Medical Device Incubator,,BPG,Incubator,2025-11-15
Theragene Pharmaceuticals,http://www.theragenepharma.com/,San Diego,,,"Immunotherapy, gene therapy and peptide delivery",,BPG,Private,2025-11-15
Therapeutic Solutions International,https://therapeuticsolutionsint.com/,Oceanside,,,Cell Therapy,,BPG,Unknown,2025-11-15
Therapeutics Inc.,https://www.therapeuticsinc.com/,San Diego,,,Dermatology Drug Development Services,,BPG,Private,2025-11-15
Theravance Biopharma,https://www.theravance.com/,South SF,,,Small Molecules,,BPG,Private,2025-11-15
Therini Bio,https://www.therinibio.com/,Sacramento,,,Monoclonal Antibody,,BPG,Unknown,2025-11-15
Thermo Fisher,https://www.thermofisher.com/us/en/home.html,Carlsbad,,,Molecular Biology & Biotech Lab Products,,BPG,Unknown,2025-11-15
Thermopeutix,https://thermopeutix.com/,Poway,,,Catheter for Cerebral Hypothermia,,BPG,Unknown,2025-11-15
Therna Biosciences,https://www.therna.com/,San Francisco,,,RNA Therapies,,BPG,Unknown,2025-11-15
Third Wave Analytics,https://thirdwaveanalytics.com/,San Francisco,,,"The world’s first user-friendly biotech LIMS built for research, NGS, clinical and GMP labs",,BPG,Unknown,2025-11-15
Thomas Advanced Medical,https://thomasadvancedmedical.com/,Los Angeles,,,Stem Cell Therapy,,BPG,Unknown,2025-11-15
Thrive Informatix,https://thriveinformatix.com/,San Ramon,,,Clinical Research,,BPG,Unknown,2025-11-15
Tidewave Bio,https://www.tidewavebio.com/,Los Angeles,,,antigen-presenting cell therapy platform,,BPG,Unknown,2025-11-15
Tierra Biosciences,https://www.tierrabiosciences.com/,San Leandro,,,Synthetic Biology,,BPG,Unknown,2025-11-15
Timberlyne Therapeutics,https://timberlyne-tx.com/,San Diego,,,Monoclonal Antibody,,BPG,Private,2025-11-15
Ting Therapeutics,https://tingtherapeutics.com/,San Diego,,,Hearing Loss Treatments,,BPG,Private,2025-11-15
Tioga Cardiovascular,https://tiogacardiovascular.com/,Los Gatos,,,Valve replacement solution for mitral and tricuspid applications,,BPG,Unknown,2025-11-15
